Rule ID,Name,Result Part,Category,Quantity,Active,When,Revision,Unit,Formula,Notes
INST-01,Install travel (2 person),LAB-TRVL-2P,INSTALLATION,1,Yes,CMBJOBTYPE = Install,,Per Hour,"IF(left(TXTCONFIGID, 4) = ""SWI-"" and CHKISPAIR, 2, 1) * NUMDRIVINGTIME / NUMTOTALDOORSPROJ / NUMESTPROJECTSONRUN",Travel allocated per door and per project on the run; doubled for SWI- pairs.
INST-02,Install strip door,INS-STRIP,INSTALLATION,1,Yes,CHKINSSTRIPSM is checked,,,,
INST-03,Install strip door extra (area > 6),INS-STRIPXT,INSTALLATION,1,Yes,CHKINSSTRIPSM is checked AND NUMSTRIPAREA > 6,,,,
INST-04,Strip door replacement (area > 6),INS-STRIP-REP,INSTALLATION,1,Yes,CHKINSSTRIPSM is checked AND NUMSTRIPAREA > 6,,,,
INST-05,Install folding / concertina door,INS-HSD-FOLDING,INSTALLATION,1,Yes,CHKINSHSDFOLDING is checked,,,,
INST-06,Enturi install up to 4x4,INS-COM-MECH4X4,INSTALLATION,1,Yes,CHKINSENT4X4 is checked,,,,
INST-07,Rapid door install up to 4x4,INS-HSD-MECH4X4,INSTALLATION,1,Yes,CHKINSRRD4X4 is checked,,,,
INST-08,Rapid door install above 4x4,INS-HSD-MECH6X6,INSTALLATION,1,Yes,CHKINSRRD6X6 is checked,,,,
INST-09,Install gantry,INS-GANTRY,INSTALLATION,1,Yes,CHKINSGANTRY is checked,,,,
INST-10,Install roller shutter 5x5,INS-SHUTTER5X5,INSTALLATION,1,Yes,CHKINSSHUTTER5X5 is checked,,,,
INST-11,Install sensor cap (SDJC),INS-SDJC,INSTALLATION,1,Yes,CHKINSCAP is checked,,,,
INST-12,Replace panel - single,INS-REPPNLS,INSTALLATION,1,Yes,CHKINSREPPNLS is checked,,,,
INST-13,Replace panel - pair,INS-REPPNLP,INSTALLATION,1,Yes,CHKINSREPPNLP is checked,,,,
INST-14,Site visit,LAB-SITEVIS,INSTALLATION,1,Yes,CHKLABSITEATT is checked,,,,
INST-15,Site assessment,LAB-SITEASS,INSTALLATION,1,Yes,CHKLABSITEASS is checked,,,,
INST-16,Install bollard,INS-BOL,INSTALLATION,1,Yes,CHKINSBOL is checked,,,,
INST-17,Swing door removal (labour),LAB-SWING-REMOVAL,INSTALLATION,1,Yes,CHKLABSWIREMOVAL is checked,,,,
INST-18,Strip door removal (labour),LAB-STRIP-REMOVAL,INSTALLATION,1,Yes,CHKLABSLDREMOVAL is checked,,,,
INST-19,Sectional door install,INS-SOD-MECH,INSTALLATION,1,Yes,CHKINSHSDSECTIONAL is checked,,,,
INST-20,Rapid door disposal,DISPOSAL-RRD,INSTALLATION,1,Yes,CHKLABRRDDISPOSAL is checked,,,,
INST-21,Install roller shutter above 5x5,INS-SHUTTER5X5PLUS,INSTALLATION,1,Yes,CHKINSSHUTTER5X5PLUS is checked,,,,
INST-22,Sliding door removal (labour),LAB-SLD-REMOVAL,INSTALLATION,1,Yes,CHKLABSLDREMOVAL is checked,,,,
INST-23,Enturi install above 4x4,INS-COM-MECH4X4PLUS,INSTALLATION,1,Yes,CHKINSENT6X6 is checked,,,,
INST-24,Rapid door removal (labour),LAB-RRD-REMOVAL,INSTALLATION,1,Yes,CHKLABRRDREMOVAL is checked,,,,
INST-25,Swing door disposal,DISPOSAL-SWI,INSTALLATION,1,Yes,CHKSWIDISPOSAL is checked,,,,
INST-26,Accommodation,ACCOM,INSTALLATION,1,Yes,CHKACCOM is checked,,,,
