Rule ID,Name,Result Part,Category,Quantity,Active,Revision,Unit,Formula,Count When,Notes,When
ACT-01,IXIO Sensor - Long Stalk,RRD-IXIO-LONGASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""IXIO Sensor - Long Stalk"")","countEquals(group(""CMBRADAR""), ""IXIO Sensor - Long Stalk"") > 0",One per radar slot set to this sensor,
ACT-02,IXIO Sensor - Short Stalk,RRD-IXIO-SHASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""IXIO Sensor - Short Stalk"")","countEquals(group(""CMBRADAR""), ""IXIO Sensor - Short Stalk"") > 0",One per radar slot set to this sensor,
ACT-03,IXIO Sensor - No Stalk,SENS-IXIODT1,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""IXIO Sensor - No Stalk"")","countEquals(group(""CMBRADAR""), ""IXIO Sensor - No Stalk"") > 0",One per radar slot set to this sensor,
ACT-04,Condor Radar - Long Stalk,RRD-COND-LONGASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Condor Radar - Long Stalk"")","countEquals(group(""CMBRADAR""), ""Condor Radar - Long Stalk"") > 0",One per radar slot set to this sensor,
ACT-05,Condor Radar - Short Stalk,RRD-COND-SHASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Condor Radar - Short Stalk"")","countEquals(group(""CMBRADAR""), ""Condor Radar - Short Stalk"") > 0",One per radar slot set to this sensor,
ACT-06,Condor Radar - No Stalk,SENS-COND,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Condor Radar - No Stalk"")","countEquals(group(""CMBRADAR""), ""Condor Radar - No Stalk"") > 0",One per radar slot set to this sensor,
ACT-07,Falcon Radar - Long Stalk,RRD-FALC-LONGASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Falcon Radar - Long Stalk"")","countEquals(group(""CMBRADAR""), ""Falcon Radar - Long Stalk"") > 0",One per radar slot set to this sensor,
ACT-08,Falcon Radar - Short Stalk,RRD-FALC-SHASS,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Falcon Radar - Short Stalk"")","countEquals(group(""CMBRADAR""), ""Falcon Radar - Short Stalk"") > 0",One per radar slot set to this sensor,
ACT-09,Falcon Radar - No Stalk,SENS-FALC,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countEquals(group(""CMBRADAR""), ""Falcon Radar - No Stalk"")","countEquals(group(""CMBRADAR""), ""Falcon Radar - No Stalk"") > 0",One per radar slot set to this sensor,
ACT-10,Pull Cord Switch,PCSW,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"countStartsWith(group(""CMBACT""), ""Pull Cord"")","countStartsWith(group(""CMBACT""), ""Pull Cord"") > 0",One per activation slot starting with Pull Cord,
ACT-11,Magic Switch - In Wall,SENS-MAGSW-IW,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Magic Switch - In Wall"", group(""NUMREMOTEQTY""), ""equals"")","sumWhere(group(""CMBACT""), ""Magic Switch - In Wall"", group(""NUMREMOTEQTY""), ""equals"") > 0",Qty comes from the NUMREMOTEQTY beside each matching slot,
ACT-12,Magic Switch - IP65 Housing,SENS-MAGSW-IP65,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Magic Switch - IP65 Housing"", group(""NUMREMOTEQTY""), ""equals"")","sumWhere(group(""CMBACT""), ""Magic Switch - IP65 Housing"", group(""NUMREMOTEQTY""), ""equals"") > 0",Qty comes from the NUMREMOTEQTY beside each matching slot,
ACT-13,Pentacode 2 Button Remote,RRD-ELREM2C-PC,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Pentacode - 2"", group(""NUMREMOTEQTY""))","sumWhere(group(""CMBACT""), ""Pentacode - 2"", group(""NUMREMOTEQTY"")) > 0",Prefix match as per M1,
ACT-14,Pentacode 4 Button Remote,RRD-ELREM1C-PC,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Pentacode - 4"", group(""NUMREMOTEQTY""))","sumWhere(group(""CMBACT""), ""Pentacode - 4"", group(""NUMREMOTEQTY"")) > 0",CHECK: Streamlit maps 4-button to RRD-ELREM1C-PC - confirm this part is right,
ACT-15,Elsema Remote 1 Button,RRD-ELREM1C,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Elsema Remote - 1"", group(""NUMREMOTEQTY""))","sumWhere(group(""CMBACT""), ""Elsema Remote - 1"", group(""NUMREMOTEQTY"")) > 0",Prefix match as per M1,
ACT-16,Elsema Remote 2 Button,RRD-ELREM2C,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Elsema Remote - 2"", group(""NUMREMOTEQTY""))","sumWhere(group(""CMBACT""), ""Elsema Remote - 2"", group(""NUMREMOTEQTY"")) > 0",Prefix match as per M1,
ACT-17,Elsema Remote 4 Button,RRD-ELREM4C,ASSEMBLY_UPGRADE,1,Yes,,Per Door,"sumWhere(group(""CMBACT""), ""Elsema Remote - 4"", group(""NUMREMOTEQTY""))","sumWhere(group(""CMBACT""), ""Elsema Remote - 4"", group(""NUMREMOTEQTY"")) > 0",Prefix match as per M1,
