Control Name,Label,Type,Options
CMBDOORMODEL,Door Model,Dropdown,|ES40|EX35|EX45|HS35|HS35-THERMIC|HS50|HS50-THERMIC|HS65|MOVICHILL|MOVICHILL-XL|MOVIFOLD|CONCERTINA
NUMDOORHEIGHT,Door Height (mm),Number,
NUMDOORWIDTH,Door Width (mm),Number,
QTY,Quantity,Number,
CMBGPOISO,GPO / Isolator,Dropdown,GPO|Isolator
CMBMOTORORIDE,Hand Crank / Chain Drive,Dropdown,|Hand Crank|Chain Drive
CMBTRACKCONFIG,Tracks Proud / Conc?,Dropdown,Proud|Concealed
CMBWINDTRACK,High Wind Tracks Required,Dropdown,|Yes|No|Not Available
CMBELECSPEC,Electrical Spec,Dropdown,|Standard|Carwash
CMBPOWERSUPPLY,Power Supply,Dropdown,|1P10A=1-Ph 10A + N + E|1P15A=1-Ph 15A + N + E|1P20A=1-Ph 20A + N + E|3P10A=3-Ph 10A + N + E|3P15A=3-Ph 15A + N + E|3P20A=3-Ph 20A + N + E
CMBCONTROLLERENCLOSURE,Controller Enclosure,Dropdown,|Std ABS IP54|ABS Hi-Box IP66|Remax S/S IP66|Powdercoated IP66 (S/S)
CMBMOTORSHROUD,Motor Shroud,Dropdown,No|Yes - Stainless Steel Upgrade
CMBMOTORSPEC,Brake / VSD Protection,Dropdown,|IP65 Std|IP66 Brake Cover
CMBBRUSHSEAL,Brush Seal,Dropdown,
CMBTRAFFICLIGHT,Traffic Light,Dropdown,No|Yes
CMBPEBEAMS,PE Beam,Dropdown,1 Level PE|2 Level PE|Light Curtain - 1830mm|1 Level - Slimline|2x LZRS25
CMBUPS,UPS,Dropdown,No UPS|1kVA UPS - 10A|2kVA UPS - 10A|3kVA UPS - 15A
CMBCUSTSTEEL,Custom Steel Work,Dropdown,No|PACKER-DADO=Packers - Dado|PACKERS=Packers - Full Perimeter|SOB-1FG=1-Fold 3mm Gal|SOB-4FG=3mm Gal Post (Roller Shutter)|Yes - Custom Steelwork
CMBREARHOODBRUSHSEAL,Rear Hood Brush Seal,Dropdown,|No|Yes - 50mm|Yes - 100mm|Yes - 175mm
CMBSPECIALCONDUIT,Conduit,Dropdown,|Standard=Standard - PVC Grey|Smooth Walled Sheathed - PVC Grey|Corrugated - PVC Orange=Corrugated - PVC Orange (DVP)|50mm Box Duct=50mm Box Duct - White|Other=Other - See Custom Notes
CMBCOLOURFINISHTYPE,Powdercoat / Painting,Dropdown,|Powdercoat|Painting
CMBES40FASCIA,Fascia,Dropdown,|Yes|No
